,Unnamed: 0,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0,0.0,0.0,7.082887298688417,17.363636363636363,-3.646693018718196,0.0,1.0,0.0
1,1,0.0,0.0,7.086892321552718,17.363636363636363,-3.650172276609294,0.0,1.0,0.0
2,2,0.0,0.0,7.099071925962292,17.363636363636363,-3.651367156774423,0.0,1.0,0.0
3,3,0.0,0.0,7.11419937903255,17.363636363636363,-3.651017760818291,0.0,1.0,0.0
4,4,0.0,0.0,7.130398324773278,17.363636363636363,-3.6499989335410112,0.0,1.0,0.0
5,5,0.0,0.0,7.14785997508197,17.363636363636363,-3.648636207072876,0.0,1.0,0.0
6,6,0.0,0.0,7.151906487558825,17.363636363636363,-3.646902114382196,0.0,1.0,0.0
7,7,0.0,0.0,7.141579816666307,17.363636363636363,-3.647482558618741,0.0,1.0,0.0
8,8,0.0,0.0,7.123687582599289,17.363636363636363,-3.650174392349341,0.0,1.0,0.0
9,9,0.0,0.0,7.103961337366319,17.262626262626263,-3.65407820478739,0.0,1.0,0.0
10,10,0.0,0.0,7.084601105795151,17.262626262626263,-3.658350419647885,0.0,1.0,0.0
11,11,0.0,0.0,7.06558035138117,17.262626262626263,-3.6626156140950954,0.0,1.0,0.0
12,12,0.0,0.0,7.045713000255477,17.262626262626263,-3.6668680022667153,0.0,1.0,0.0
13,13,0.0,0.0,7.024752226496388,17.262626262626263,-3.671241594705504,0.0,1.0,0.0
14,14,0.0,0.0,7.003119445788274,17.262626262626263,-3.6757997263489215,0.0,1.0,0.0
15,15,0.0,0.0,6.98123312222033,17.262626262626263,-3.680477026215802,0.0,1.0,0.0
16,16,0.0,0.0,6.959289238354574,17.262626262626263,-3.6852169846144975,0.0,1.0,0.0
17,17,0.0,0.0,6.937310008675481,19.383838383838384,-3.6899814452968176,0.0,1.0,0.0
18,18,0.0,0.0,6.916844851019967,19.383838383838384,-3.6947690419535366,0.0,1.0,0.0
19,19,0.0,0.0,6.897969737021317,19.383838383838384,-3.6993108055387,0.0,1.0,0.0
20,20,0.0,0.0,6.879956005785488,19.383838383838384,-3.703588247870622,0.0,1.0,0.0
21,21,0.0,0.0,6.862210508540734,19.383838383838384,-3.707694290820925,0.0,1.0,0.0
22,22,0.0,0.0,6.844519510970067,19.383838383838384,-3.711717127870242,0.0,1.0,0.0
23,23,0.0,0.0,6.826900805197144,19.383838383838384,-3.715695021937095,0.0,1.0,0.0
24,24,0.0,0.0,6.806776995739781,19.383838383838384,-3.7196272121958,0.0,1.0,0.0
25,25,0.0,0.0,6.784067827299993,19.383838383838384,-3.724016316152393,0.0,1.0,0.0
26,26,0.0,0.0,6.760032327590432,19.383838383838384,-3.728808657783068,0.0,1.0,0.0
27,27,0.0,0.0,6.735676535630988,19.383838383838384,-3.733837691307946,0.0,1.0,0.0
28,28,0.0,0.0,6.711364086115809,19.383838383838384,-3.738957050558892,0.0,1.0,0.0
29,29,0.0,0.0,6.687069888091098,19.383838383838384,-3.744100472189549,0.0,1.0,0.0
30,30,0.0,0.0,6.662337253686956,19.383838383838384,-3.749271049031994,0.0,1.0,0.0
31,31,342275328.0,0.0,6.637131760635076,19.383838383838384,-3.754541729537458,0.0,1.0,0.0
32,32,28616912.0,0.0,6.611663214744366,17.414141414141415,-3.759916322648201,0.0,1.0,0.0
33,33,697490.0,0.0,6.586101816068003,17.414141414141415,-3.765363177857828,0.0,1.0,0.0
34,34,17627312.0,0.0,6.560515603934727,17.414141414141415,-3.770859420607183,0.0,1.0,0.0
35,35,394969.75,0.0,6.53490332353288,17.414141414141415,-3.7763899545828266,0.0,1.0,0.0
36,36,14328082.0,0.0,6.515377776662413,17.414141414141415,-3.781956252101169,0.0,1.0,0.0
37,37,169210976.0,0.0,6.501995980166238,17.414141414141415,-3.786365513665968,0.0,1.0,0.0
38,38,49224940.0,0.0,6.491793165333984,17.414141414141415,-3.789774993389704,0.0,1.0,0.0
39,39,20774418.0,0.0,6.482507702936982,17.414141414141415,-3.792602074588664,0.0,1.0,0.0
40,40,116271720.0,0.0,6.473372421672311,17.414141414141415,-3.795180251749085,0.0,1.0,0.0
41,41,9178472.0,0.0,6.464482167634188,17.414141414141415,-3.797657345055909,0.0,1.0,0.0
42,42,9505180.0,0.0,6.459959678371969,17.414141414141415,-3.800041069777853,0.0,1.0,0.0
43,43,15426124.0,0.0,6.460201302944209,17.414141414141415,-3.8016358022566794,0.0,1.0,0.0
44,44,42725576.0,0.0,6.463084273488876,17.414141414141415,-3.802469582679423,0.0,1.0,0.0
45,45,165891072.0,0.0,6.467073234481941,17.414141414141415,-3.802808010480816,0.0,1.0,0.0
