,Unnamed: 0,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0,0.0,0.0,7.082887298688417,21.0,-3.646693018718196,0.0,1.0,0.0
1,1,0.0,0.0,7.086892321552718,21.0,-3.650172276609294,0.0,1.0,0.0
2,2,0.0,0.0,7.099071925962292,21.0,-3.651367156774423,0.0,1.0,0.0
3,3,0.0,0.0,7.11419937903255,21.0,-3.651017760818291,0.0,1.0,0.0
4,4,0.0,0.0,7.130398324773278,21.0,-3.6499989335410112,0.0,1.0,0.0
5,5,0.0,0.0,7.14785997508197,19.282828282828284,-3.648636207072876,0.0,1.0,0.0
6,6,0.0,0.0,7.151906487558825,19.282828282828284,-3.646902114382196,0.0,1.0,0.0
7,7,0.0,0.0,7.141579816666307,19.282828282828284,-3.647482558618741,0.0,1.0,0.0
8,8,0.0,0.0,7.123687582599289,19.282828282828284,-3.650174392349341,0.0,1.0,0.0
9,9,0.0,0.0,7.103961337366319,19.282828282828284,-3.65407820478739,0.0,1.0,0.0
10,10,0.0,0.0,7.084601105795151,19.282828282828284,-3.658350419647885,0.0,1.0,0.0
11,11,0.0,0.0,7.06558035138117,20.848484848484848,-3.6626156140950954,0.0,1.0,0.0
12,12,0.0,0.0,7.045713000255477,20.848484848484848,-3.6668680022667153,0.0,1.0,0.0
13,13,0.0,0.0,7.024752226496388,20.848484848484848,-3.671241594705504,0.0,1.0,0.0
14,14,0.0,0.0,7.003119445788274,20.848484848484848,-3.6757997263489215,0.0,1.0,0.0
15,15,0.0,0.0,6.98123312222033,20.848484848484848,-3.680477026215802,0.0,1.0,0.0
16,16,0.0,0.0,6.959289238354574,20.848484848484848,-3.6852169846144975,0.0,1.0,0.0
17,17,0.0,0.0,6.937310008675481,20.848484848484848,-3.6899814452968176,0.0,1.0,0.0
18,18,0.0,0.0,6.916844851019967,20.848484848484848,-3.6947690419535366,0.0,1.0,0.0
19,19,0.0,0.0,6.897969737021317,20.646464646464647,-3.6993108055387,0.0,1.0,0.0
20,20,0.0,0.0,6.879956005785488,20.646464646464647,-3.703588247870622,0.0,1.0,0.0
21,21,0.0,0.0,6.862210508540734,20.646464646464647,-3.707694290820925,0.0,1.0,0.0
22,22,0.0,0.0,6.844519510970067,20.646464646464647,-3.711717127870242,0.0,1.0,0.0
23,23,0.0,0.0,6.826900805197144,20.646464646464647,-3.715695021937095,0.0,1.0,0.0
24,24,0.0,0.0,6.806776995739781,21.0,-3.7196272121958,0.0,1.0,0.0
25,25,0.0,0.0,6.784067827299993,21.0,-3.724016316152393,0.0,1.0,0.0
26,26,0.0,0.0,6.760032327590432,21.0,-3.728808657783068,0.0,1.0,0.0
27,27,0.0,0.0,6.735676535630988,21.0,-3.733837691307946,0.0,1.0,0.0
28,28,0.0,0.0,6.711364086115809,21.0,-3.738957050558892,0.0,1.0,0.0
29,29,0.0,0.0,6.687069888091098,21.0,-3.744100472189549,0.0,1.0,0.0
30,30,0.0,0.0,6.662337253686956,21.0,-3.749271049031994,0.0,1.0,0.0
31,31,6759190102016.0,0.0,6.637131760635076,21.0,-3.754541729537458,0.0,1.0,0.0
32,32,519853572096.0,0.0,6.611663214744366,20.545454545454547,-3.759916322648201,0.0,1.0,0.0
33,33,1572288069632.0,0.0,6.586101816068003,20.545454545454547,-3.765363177857828,0.0,1.0,0.0
34,34,427052761088.0,0.0,6.560515603934727,20.545454545454547,-3.770859420607183,0.0,1.0,0.0
35,35,378884325376.0,0.0,6.53490332353288,20.848484848484848,-3.7763899545828266,0.0,1.0,0.0
36,36,2925584711680.0,0.0,6.515377776662413,20.848484848484848,-3.781956252101169,0.0,1.0,0.0
37,37,1579051122688.0,0.0,6.501995980166238,20.848484848484848,-3.786365513665968,0.0,1.0,0.0
38,38,466896551936.0,0.0,6.491793165333984,20.848484848484848,-3.789774993389704,0.0,1.0,0.0
39,39,392445034496.0,0.0,6.482507702936982,20.848484848484848,-3.792602074588664,0.0,1.0,0.0
40,40,481813856256.0,0.0,6.473372421672311,19.282828282828284,-3.795180251749085,0.0,1.0,0.0
41,41,474360053760.0,0.0,6.464482167634188,19.282828282828284,-3.797657345055909,0.0,1.0,0.0
42,42,570818035712.0,0.0,6.459959678371969,20.646464646464647,-3.800041069777853,0.0,1.0,0.0
43,43,809143894016.0,0.0,6.460201302944209,20.646464646464647,-3.8016358022566794,0.0,1.0,0.0
44,44,1116089614336.0,0.0,6.463084273488876,20.646464646464647,-3.802469582679423,0.0,1.0,0.0
45,45,548553883648.0,0.0,6.467073234481941,20.646464646464647,-3.802808010480816,0.0,1.0,0.0
46,46,570250493952.0,0.0,6.471470665437591,20.646464646464647,-3.802894529899199,0.0,1.0,0.0
47,47,542901010432.0,0.0,6.476390078488543,20.646464646464647,-3.802839145869756,0.0,1.0,0.0
48,48,1031640973312.0,0.0,6.478160833193217,20.646464646464647,-3.802641056212588,0.0,1.0,0.0
49,49,556754272256.0,0.0,6.476593374113201,20.646464646464647,-3.802933048133139,0.0,1.0,0.0
50,50,578668724224.0,0.0,6.474456437579763,20.646464646464647,-3.8036918168097302,0.0,1.0,0.0
51,51,433899438080.0,0.0,6.475092014150005,20.646464646464647,-3.804246586253531,0.0,1.0,0.0
52,52,523536171008.0,0.0,6.479537139481364,20.646464646464647,-3.803957019182732,0.0,1.0,0.0
53,53,647088832512.0,0.0,6.487639844497261,20.646464646464647,-3.802916956714921,0.0,1.0,0.0
54,54,876575719424.0,0.0,6.497057747291045,20.646464646464647,-3.801011435252046,0.0,1.0,0.0
55,55,509387997184.0,0.0,6.50727644317453,20.646464646464647,-3.798757325713013,0.0,1.0,0.0
56,56,1422891417600.0,0.0,6.518635430545134,20.646464646464647,-3.796143189567893,0.0,1.0,0.0
57,57,322138275840.0,0.0,6.533183353380407,20.646464646464647,-3.7932372278226607,0.0,1.0,0.0
58,58,458971414528.0,0.0,6.551914726438567,20.646464646464647,-3.7892691845058457,0.0,1.0,0.0
59,59,601444057088.0,0.0,6.57470172654553,20.646464646464647,-3.7844318430855286,0.0,1.0,0.0
60,60,490046226432.0,0.0,6.602595965288932,20.646464646464647,-3.778667720962447,0.0,1.0,0.0
61,61,479121637376.0,0.0,6.635374471825917,20.646464646464647,-3.771869910239611,0.0,1.0,0.0
62,62,6704397811712.0,0.0,6.672095337121654,20.646464646464647,-3.763999427121557,0.0,1.0,0.0
