,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0.0,0.0,7.082887298688417,19.585858585858585,-3.6466930187181963,0.0,[1.],0.0
1,0.0,0.0,7.086892321552718,19.585858585858585,-3.650172276609294,0.0,[1.],0.0
2,0.0,0.0,7.099071925962292,19.585858585858585,-3.651367156774423,0.0,[1.],0.0
3,0.0,0.0,7.11419937903255,19.585858585858585,-3.651017760818291,0.0,[1.],0.0
4,0.0,0.0,7.130398324773278,19.585858585858585,-3.6499989335410112,0.0,[1.],0.0
5,0.0,0.0,7.14785997508197,19.585858585858585,-3.648636207072876,0.0,[1.],0.0
6,0.0,0.0,7.151906487558825,20.949494949494948,-3.6469021143821956,0.0,[1.],0.0
7,0.0,0.0,7.141579816666307,20.949494949494948,-3.647482558618741,0.0,[1.],0.0
8,0.0,0.0,7.123687582599289,20.949494949494948,-3.6501743923493413,0.0,[1.],0.0
9,0.0,0.0,7.103961337366319,20.949494949494948,-3.65407820478739,0.0,[1.],0.0
10,0.0,0.0,7.084601105795151,20.949494949494948,-3.6583504196478844,0.0,[1.],0.0
11,0.0,0.0,7.06558035138117,20.949494949494948,-3.6626156140950945,0.0,[1.],0.0
12,0.0,0.0,7.045713000255477,20.949494949494948,-3.6668680022667153,0.0,[1.],0.0
13,0.0,0.0,7.024752226496388,20.949494949494948,-3.6712415947055037,0.0,[1.],0.0
14,0.0,0.0,7.003119445788274,20.949494949494948,-3.6757997263489215,0.0,[1.],0.0
15,0.0,0.0,6.98123312222033,20.949494949494948,-3.6804770262158026,0.0,[1.],0.0
16,0.0,0.0,6.959289238354574,20.949494949494948,-3.6852169846144984,0.0,[1.],0.0
17,0.0,0.0,6.937310008675481,20.949494949494948,-3.6899814452968176,0.0,[1.],0.0
18,0.0,0.0,6.916844851019967,19.585858585858585,-3.6947690419535366,0.0,[1.],0.0
19,0.0,0.0,6.897969737021317,19.585858585858585,-3.6993108055387,0.0,[1.],0.0
20,0.0,0.0,6.879956005785488,19.585858585858585,-3.703588247870622,0.0,[1.],0.0
21,0.0,0.0,6.862210508540734,19.585858585858585,-3.707694290820925,0.0,[1.],0.0
22,0.0,0.0,6.844519510970067,19.585858585858585,-3.711717127870242,0.0,[1.],0.0
23,0.0,0.0,6.826900805197144,19.585858585858585,-3.715695021937095,0.0,[1.],0.0
24,0.0,0.0,6.806776995739781,19.585858585858585,-3.7196272121958,0.0,[1.],0.0
25,0.0,0.0,6.784067827299993,19.585858585858585,-3.724016316152393,0.0,[1.],0.0
26,0.0,0.0,6.760032327590432,19.585858585858585,-3.7288086577830675,0.0,[1.],0.0
27,0.0,0.0,6.735676535630988,19.585858585858585,-3.733837691307946,0.0,[1.],0.0
28,0.0,0.0,6.711364086115809,19.585858585858585,-3.738957050558892,0.0,[1.],0.0
29,0.0,0.0,6.687069888091098,19.585858585858585,-3.7441004721895492,0.0,[1.],0.0
30,0.0,0.0,6.662337253686956,19.585858585858585,-3.749271049031994,0.0,[1.],0.0
31,292725.8125,0.0,6.637131760635076,19.585858585858585,-3.754541729537458,0.0,[1.],0.0
32,23981244.0,0.0,6.611663214744366,19.585858585858585,-3.759916322648201,0.0,[1.],0.0
