,Unnamed: 0,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0,0.0,0.0,7.082887298688417,18.97979797979798,-3.646693018718196,0.0,1.0,0.0
1,1,0.0,0.0,7.086892321552718,18.97979797979798,-3.650172276609294,0.0,1.0,0.0
2,2,0.0,0.0,7.099071925962292,18.97979797979798,-3.651367156774423,0.0,1.0,0.0
3,3,0.0,0.0,7.11419937903255,18.97979797979798,-3.651017760818291,0.0,1.0,0.0
4,4,0.0,0.0,7.130398324773278,18.97979797979798,-3.6499989335410112,0.0,1.0,0.0
5,5,0.0,0.0,7.14785997508197,18.97979797979798,-3.648636207072876,0.0,1.0,0.0
6,6,0.0,0.0,7.151906487558825,18.97979797979798,-3.646902114382196,0.0,1.0,0.0
7,7,0.0,0.0,7.141579816666307,18.97979797979798,-3.647482558618741,0.0,1.0,0.0
8,8,0.0,0.0,7.123687582599289,18.97979797979798,-3.650174392349341,0.0,1.0,0.0
9,9,0.0,0.0,7.103961337366319,18.97979797979798,-3.65407820478739,0.0,1.0,0.0
10,10,0.0,0.0,7.084601105795151,18.97979797979798,-3.658350419647885,0.0,1.0,0.0
11,11,0.0,0.0,7.06558035138117,18.97979797979798,-3.6626156140950954,0.0,1.0,0.0
12,12,0.0,0.0,7.045713000255477,18.97979797979798,-3.6668680022667153,0.0,1.0,0.0
13,13,0.0,0.0,7.024752226496388,18.97979797979798,-3.671241594705504,0.0,1.0,0.0
14,14,0.0,0.0,7.003119445788274,18.97979797979798,-3.6757997263489215,0.0,1.0,0.0
15,15,0.0,0.0,6.98123312222033,18.97979797979798,-3.680477026215802,0.0,1.0,0.0
16,16,0.0,0.0,6.959289238354574,18.97979797979798,-3.6852169846144975,0.0,1.0,0.0
17,17,0.0,0.0,6.937310008675481,18.97979797979798,-3.6899814452968176,0.0,1.0,0.0
18,18,0.0,0.0,6.916844851019967,18.97979797979798,-3.6947690419535366,0.0,1.0,0.0
19,19,0.0,0.0,6.897969737021317,18.97979797979798,-3.6993108055387,0.0,1.0,0.0
20,20,0.0,0.0,6.879956005785488,18.97979797979798,-3.703588247870622,0.0,1.0,0.0
21,21,0.0,0.0,6.862210508540734,18.97979797979798,-3.707694290820925,0.0,1.0,0.0
22,22,0.0,0.0,6.844519510970067,18.97979797979798,-3.711717127870242,0.0,1.0,0.0
23,23,0.0,0.0,6.826900805197144,18.97979797979798,-3.715695021937095,0.0,1.0,0.0
24,24,0.0,0.0,6.806776995739781,18.97979797979798,-3.7196272121958,0.0,1.0,0.0
25,25,0.0,0.0,6.784067827299993,18.97979797979798,-3.724016316152393,0.0,1.0,0.0
26,26,0.0,0.0,6.760032327590432,18.97979797979798,-3.728808657783068,0.0,1.0,0.0
27,27,0.0,0.0,6.735676535630988,18.97979797979798,-3.733837691307946,0.0,1.0,0.0
28,28,0.0,0.0,6.711364086115809,18.97979797979798,-3.738957050558892,0.0,1.0,0.0
29,29,0.0,0.0,6.687069888091098,18.97979797979798,-3.744100472189549,0.0,1.0,0.0
30,30,0.0,0.0,6.662337253686956,18.97979797979798,-3.749271049031994,0.0,1.0,0.0
31,31,1358905600.0,0.0,6.637131760635076,18.97979797979798,-3.754541729537458,0.0,1.0,0.0
32,32,372760128.0,0.0,6.611663214744366,18.97979797979798,-3.759916322648201,0.0,1.0,0.0
33,33,1449317632.0,0.0,6.586101816068003,18.97979797979798,-3.765363177857828,0.0,1.0,0.0
34,34,586108544.0,0.0,6.560515603934727,18.97979797979798,-3.770859420607183,0.0,1.0,0.0
35,35,836395904.0,0.0,6.53490332353288,18.97979797979798,-3.7763899545828266,0.0,1.0,0.0
36,36,2071315968.0,0.0,6.515377776662413,18.97979797979798,-3.781956252101169,0.0,1.0,0.0
37,37,1520005376.0,0.0,6.501995980166238,18.97979797979798,-3.786365513665968,0.0,1.0,0.0
38,38,1754108416.0,0.0,6.491793165333984,18.97979797979798,-3.789774993389704,0.0,1.0,0.0
39,39,897512640.0,0.0,6.482507702936982,18.97979797979798,-3.792602074588664,0.0,1.0,0.0
40,40,1186234624.0,0.0,6.473372421672311,18.97979797979798,-3.795180251749085,0.0,1.0,0.0
41,41,644738496.0,0.0,6.464482167634188,18.97979797979798,-3.797657345055909,0.0,1.0,0.0
42,42,1733568000.0,0.0,6.459959678371969,18.97979797979798,-3.800041069777853,0.0,1.0,0.0
43,43,1231696384.0,0.0,6.460201302944209,18.97979797979798,-3.8016358022566794,0.0,1.0,0.0
44,44,1019519808.0,0.0,6.463084273488876,18.97979797979798,-3.802469582679423,0.0,1.0,0.0
45,45,482167296.0,0.0,6.467073234481941,18.97979797979798,-3.802808010480816,0.0,1.0,0.0
46,46,730825472.0,0.0,6.471470665437591,18.97979797979798,-3.802894529899199,0.0,1.0,0.0
47,47,1764975872.0,0.0,6.476390078488543,18.97979797979798,-3.802839145869756,0.0,1.0,0.0
48,48,1531625600.0,0.0,6.478160833193217,18.97979797979798,-3.802641056212588,0.0,1.0,0.0
49,49,1037884608.0,0.0,6.476593374113201,18.97979797979798,-3.802933048133139,0.0,1.0,0.0
50,50,1696145152.0,0.0,6.474456437579763,18.97979797979798,-3.8036918168097302,0.0,1.0,0.0
51,51,716013056.0,0.0,6.475092014150005,18.97979797979798,-3.804246586253531,0.0,1.0,0.0
52,52,598324992.0,0.0,6.479537139481364,18.97979797979798,-3.803957019182732,0.0,1.0,0.0
53,53,575645248.0,0.0,6.487639844497261,18.97979797979798,-3.802916956714921,0.0,1.0,0.0
54,54,369114752.0,0.0,6.497057747291045,18.97979797979798,-3.801011435252046,0.0,1.0,0.0
55,55,315919168.0,0.0,6.50727644317453,18.97979797979798,-3.798757325713013,0.0,1.0,0.0
