,loss,epsilon,tair,action,pmv,qheat,reward,occ
0,0.0,0.0,7.082887298688417,20.696969696969695,-3.6466930187181963,0.0,1.0,0.0
1,0.0,0.0,7.086892321552718,20.696969696969695,-3.650172276609294,0.0,1.0,0.0
2,0.0,0.0,7.099071925962292,20.696969696969695,-3.651367156774423,0.0,1.0,0.0
3,0.0,0.0,7.11419937903255,20.696969696969695,-3.651017760818291,0.0,1.0,0.0
4,0.0,0.0,7.130398324773278,20.696969696969695,-3.6499989335410112,0.0,1.0,0.0
5,0.0,0.0,7.14785997508197,20.696969696969695,-3.648636207072876,0.0,1.0,0.0
6,0.0,0.0,7.151906487558825,20.696969696969695,-3.6469021143821956,0.0,1.0,0.0
7,0.0,0.0,7.141579816666307,20.696969696969695,-3.647482558618741,0.0,1.0,0.0
8,0.0,0.0,7.123687582599289,20.696969696969695,-3.6501743923493413,0.0,1.0,0.0
9,0.0,0.0,7.103961337366319,20.696969696969695,-3.65407820478739,0.0,1.0,0.0
10,0.0,0.0,7.084601105795151,20.696969696969695,-3.6583504196478844,0.0,1.0,0.0
11,0.0,0.0,7.06558035138117,20.696969696969695,-3.6626156140950945,0.0,1.0,0.0
12,0.0,0.0,7.045713000255477,20.696969696969695,-3.6668680022667153,0.0,1.0,0.0
13,0.0,0.0,7.024752226496388,17.464646464646464,-3.6712415947055037,0.0,1.0,0.0
14,0.0,0.0,7.003119445788274,17.464646464646464,-3.6757997263489215,0.0,1.0,0.0
15,0.0,0.0,6.98123312222033,17.464646464646464,-3.6804770262158026,0.0,1.0,0.0
16,0.0,0.0,6.959289238354574,17.464646464646464,-3.6852169846144984,0.0,1.0,0.0
17,0.0,0.0,6.937310008675481,17.464646464646464,-3.6899814452968176,0.0,1.0,0.0
18,0.0,0.0,6.916844851019967,17.464646464646464,-3.6947690419535366,0.0,1.0,0.0
19,0.0,0.0,6.897969737021317,17.464646464646464,-3.6993108055387,0.0,1.0,0.0
20,0.0,0.0,6.879956005785488,17.464646464646464,-3.703588247870622,0.0,1.0,0.0
21,0.0,0.0,6.862210508540734,19.18181818181818,-3.707694290820925,0.0,1.0,0.0
22,0.0,0.0,6.844519510970067,19.18181818181818,-3.711717127870242,0.0,1.0,0.0
23,0.0,0.0,6.826900805197144,19.18181818181818,-3.715695021937095,0.0,1.0,0.0
24,0.0,0.0,6.806776995739781,19.18181818181818,-3.7196272121958,0.0,1.0,0.0
25,0.0,0.0,6.784067827299993,20.696969696969695,-3.724016316152393,0.0,1.0,0.0
26,0.0,0.0,6.760032327590432,20.696969696969695,-3.7288086577830675,0.0,1.0,0.0
27,0.0,0.0,6.735676535630988,20.696969696969695,-3.733837691307946,0.0,1.0,0.0
28,0.0,0.0,6.711364086115809,20.696969696969695,-3.738957050558892,0.0,1.0,0.0
29,0.0,0.0,6.687069888091098,20.696969696969695,-3.7441004721895492,0.0,1.0,0.0
30,0.0,0.0,6.662337253686956,20.696969696969695,-3.749271049031994,0.0,1.0,0.0
31,5114009.0,0.0,6.637131760635076,19.686868686868685,-3.754541729537458,0.0,1.0,0.0
32,3826254.5,0.0,6.611663214744366,19.686868686868685,-3.759916322648201,0.0,1.0,0.0
33,3420874.5,0.0,6.586101816068003,19.686868686868685,-3.765363177857828,0.0,1.0,0.0
34,2128971.25,0.0,6.560515603934727,19.838383838383837,-3.7708594206071826,0.0,1.0,0.0
35,728077.5,0.0,6.53490332353288,19.838383838383837,-3.7763899545828266,0.0,1.0,0.0
36,2911496.5,0.0,6.515377776662413,19.838383838383837,-3.7819562521011685,0.0,1.0,0.0
37,2478100.5,0.0,6.501995980166238,19.838383838383837,-3.786365513665968,0.0,1.0,0.0
38,21573604.0,0.0,6.491793165333984,19.18181818181818,-3.7897749933897042,0.0,1.0,0.0
39,5851724.5,0.0,6.482507702936982,19.18181818181818,-3.7926020745886637,0.0,1.0,0.0
40,5268790.0,0.0,6.473372421672311,19.18181818181818,-3.7951802517490854,0.0,1.0,0.0
41,4356276.0,0.0,6.464482167634188,19.18181818181818,-3.7976573450559092,0.0,1.0,0.0
42,5517702.5,0.0,6.459959678371969,19.18181818181818,-3.800041069777853,0.0,1.0,0.0
43,3382553.75,0.0,6.460201302944209,19.18181818181818,-3.8016358022566785,0.0,1.0,0.0
44,4800517.0,0.0,6.463084273488876,19.18181818181818,-3.802469582679423,0.0,1.0,0.0
45,10897836.0,0.0,6.467073234481941,18.77777777777778,-3.802808010480816,0.0,1.0,0.0
46,18016122.0,0.0,6.471470665437591,18.77777777777778,-3.802894529899199,0.0,1.0,0.0
47,12962357.0,0.0,6.476390078488543,18.77777777777778,-3.802839145869756,0.0,1.0,0.0
48,1247566.0,0.0,6.478160833193217,18.77777777777778,-3.802641056212588,0.0,1.0,0.0
49,11649504.0,0.0,6.476593374113201,18.77777777777778,-3.802933048133139,0.0,1.0,0.0
50,3077893.5,0.0,6.474456437579763,17.464646464646464,-3.8036918168097307,0.0,1.0,0.0
51,13712058.0,0.0,6.475092014150005,17.464646464646464,-3.804246586253531,0.0,1.0,0.0
52,2559083.75,0.0,6.479537139481364,17.464646464646464,-3.803957019182732,0.0,1.0,0.0
53,2490790.0,0.0,6.487639844497261,17.464646464646464,-3.802916956714921,0.0,1.0,0.0
54,2317192.75,0.0,6.497057747291045,17.464646464646464,-3.801011435252046,0.0,1.0,0.0
55,1892091.25,0.0,6.50727644317453,17.464646464646464,-3.798757325713013,0.0,1.0,0.0
56,13169938.0,0.0,6.518635430545134,19.18181818181818,-3.796143189567893,0.0,1.0,0.0
57,3043069.5,0.0,6.533183353380407,19.18181818181818,-3.7932372278226607,0.0,1.0,0.0
58,3471973.0,0.0,6.551914726438567,19.18181818181818,-3.7892691845058457,0.0,1.0,0.0
59,9863488.0,0.0,6.57470172654553,19.18181818181818,-3.7844318430855286,0.0,1.0,0.0
60,9080442.0,0.0,6.602595965288932,19.18181818181818,-3.778667720962447,0.0,1.0,0.0
61,3961233.0,0.0,6.635374471825917,18.373737373737374,-3.771869910239611,0.0,1.0,0.0
62,4102903.5,0.0,6.672095337121654,18.373737373737374,-3.763999427121557,0.0,1.0,0.0
63,10494773.0,0.0,6.711562971995152,18.373737373737374,-3.7553356901768034,0.0,1.0,0.0
64,2965654.0,0.0,6.753130286524018,18.373737373737374,-3.7461463289352963,0.0,1.0,0.0
65,2835856.0,0.0,6.795706793320827,19.686868686868685,-3.73653618546923,0.0,1.0,0.0
66,1773704.5,0.0,6.839421677296312,19.686868686868685,-3.7265380365043934,0.0,1.0,0.0
67,11007099.0,0.0,6.885479630997667,19.686868686868685,-3.716181482405264,0.0,1.0,0.0
68,13514366.0,0.0,6.942422825697929,19.686868686868685,-3.705207122479787,0.0,1.0,0.0
69,2033357.0,0.0,6.995920162560687,19.686868686868685,-3.690086410314078,0.0,1.0,0.0
70,2825617.25,0.0,7.04088069566069,19.686868686868685,-3.6801430665974637,0.0,1.0,0.0
71,1648864.25,0.0,7.08110690437052,17.464646464646464,-3.6698194382782012,0.0,1.0,0.0
72,10397682.0,0.0,7.118235318503753,19.686868686868685,-3.660295664660585,0.0,1.0,0.0
73,436347.0,0.0,7.153610236193164,19.686868686868685,-3.651273615678364,0.0,1.0,0.0
74,1779153.25,0.0,7.188178090437703,18.373737373737374,-3.6425621327825395,0.0,1.0,0.0
75,3515469.5,0.0,7.289252441420975,18.373737373737374,-3.6340250831757808,0.0,1.0,0.0
76,3542669.5,0.0,7.472965858455168,18.373737373737374,-3.5994589308769824,0.0,1.0,0.0
77,1786303.75,0.0,7.730147039963053,18.373737373737374,-3.555755788188278,0.0,1.0,0.0
78,25030666.0,0.0,7.904964206908546,18.373737373737374,-3.495105227832209,0.0,1.0,0.0
79,1563134.125,0.0,8.32119595270651,18.373737373737374,-3.447210659736888,0.0,1.0,0.0
80,3655365.0,0.0,8.711624998648096,18.373737373737374,-3.359694940919543,0.0,1.0,0.0
81,2464037.5,0.0,9.033410812336392,16.90909090909091,-3.276366087508599,0.0,1.0,0.0
82,7408172.5,0.0,9.272291800256996,16.90909090909091,-3.212951667078633,0.0,1.0,0.0
83,2199817.5,0.0,9.449748841921709,16.90909090909091,-3.163191201352381,0.0,1.0,0.0
84,2087488.875,0.0,9.59016595281846,16.90909090909091,-3.125628483257102,0.0,1.0,0.0
85,2417003.5,0.0,9.708071349894402,16.90909090909091,-3.0938630969553613,0.0,1.0,0.0
